fips_code,name,state,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
22029,Concordia Parish,LA,20839,20842,20501,20500,20479,20228,19970,19846,19586,19259
22031,De Soto Parish,LA,26670,26779,27023,27089,27061,27101,27190,27267,27426,27463
22033,East Baton Rouge Parish,LA,440912,441564,442955,444181,445119,445512,446677,444511,442058,440059
22035,East Carroll Parish,LA,7737,7658,7579,7500,7445,7277,7235,7111,6994,6861
22037,East Feliciana Parish,LA,20157,20085,19860,19601,19677,19540,19513,19380,19286,19135
22039,Evangeline Parish,LA,33956,33842,33748,33827,33758,33724,33667,33663,33496,33395
22041,Franklin Parish,LA,20810,20771,20573,20508,20432,20386,20370,20256,20164,20015
22043,Grant Parish,LA,22336,22382,22388,22301,22356,22302,22279,22296,22436,22389
22045,Iberia Parish,LA,73111,73439,73660,73839,73724,73747,72971,71982,70905,69830
22047,Iberville Parish,LA,33388,33361,33327,33385,33131,33136,32864,32906,32693,32511
22049,Jackson Parish,LA,16307,16350,16264,16130,15989,15947,15895,15898,15912,15744
22051,Jefferson Parish,LA,432610,434089,433954,434264,434078,435175,436572,436126,433884,432493
22053,Jefferson Davis Parish,LA,31632,31592,31445,31295,31447,31431,31388,31480,31537,31368
22055,Lafayette Parish,LA,222315,224673,227298,231471,235695,239332,241275,241756,243113,244390
22057,Lafourche Parish,LA,96745,97078,97177,97276,97886,98314,98506,98123,97981,97614
22059,La Salle Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22061,Lincoln Parish,LA,46850,47058,47026,47233,47198,47434,47473,47471,47112,46742
22063,Livingston Parish,LA,128337,129828,131478,133668,135168,137116,139627,137712,139394,140789
22065,Madison Parish,LA,12106,11976,12212,11908,11819,11554,11486,11342,11196,10951
22067,Morehouse Parish,LA,27873,27479,27375,26938,26652,26301,25894,25655,25324,24874
22069,Natchitoches Parish,LA,39528,39386,39339,39118,39124,39004,39024,39042,38616,38158
22071,Orleans Parish,LA,347772,360735,369787,378637,383940,389742,391843,391493,391004,390144
22073,Ouachita Parish,LA,153969,154650,155256,156062,156360,156880,156897,155841,154571,153279
22075,Plaquemines Parish,LA,23117,23582,23826,23509,23304,23437,23323,23348,23385,23197
22077,Pointe Coupee Parish,LA,22823,22814,22683,22429,22313,22197,22111,22164,21879,21730
22079,Rapides Parish,LA,131760,132020,132012,132322,132202,131780,131845,131253,130326,129648
22081,Red River Parish,LA,9099,9083,9072,8957,8757,8711,8621,8527,8526,8442
22083,Richland Parish,LA,20756,20886,20912,20913,20759,20546,20446,20413,20223,20122
22085,Sabine Parish,LA,24226,24421,24322,24261,24112,24205,24055,23909,23901,23884
22087,St. Bernard Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22089,St. Charles Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22091,St. Helena Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22093,St. James Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
22095,St. John the Baptist Parish,LA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
